Detected CPU features: mmx sse sse2 sse3 ssse3 sse4.1 sse4.2 popcnt avx avx2
bpp v4.8.7_macos_x86_64, 128GB RAM, 36 cores
https://github.com/bpp/bpp

Auto-selected SIMD ISA: AVX2


Starting timer..
Seed: 383477503 (randomly generated)
Parsing species tree... Done
Parsing phylip file... Done

Summary of alignments *before* phasing sequences:
 Locus | Model | Sequences | Length | Ambiguous sites | Compressed | Base freqs 
-------+-------+-----------+--------+-----------------+------------+------------
     1 |  JC69 |         4 |    137 |               0 |          1 |      Fixed 
     2 |  JC69 |        20 |    397 |             116 |         13 |      Fixed 
     3 |  JC69 |         2 |    281 |              11 |          5 |      Fixed 
     4 |  JC69 |        19 |    449 |               5 |          6 |      Fixed 
     5 |  JC69 |         8 |    265 |               7 |          7 |      Fixed 
     6 |  JC69 |         3 |     51 |               0 |          1 |      Fixed 
     7 |  JC69 |         6 |    239 |              60 |          9 |      Fixed 
     8 |  JC69 |        17 |    499 |             292 |         28 |      Fixed 
     9 |  JC69 |         2 |    554 |             133 |          3 |      Fixed 
    10 |  JC69 |         6 |    287 |              32 |         11 |      Fixed 
    11 |  JC69 |        20 |    488 |             419 |         29 |      Fixed 
    12 |  JC69 |        18 |    288 |              92 |         10 |      Fixed 
    13 |  JC69 |         3 |    274 |               1 |          2 |      Fixed 
    14 |  JC69 |         3 |    112 |              11 |          3 |      Fixed 
    15 |  JC69 |         2 |    280 |               4 |          3 |      Fixed 
    16 |  JC69 |         3 |    161 |               0 |          2 |      Fixed 
    17 |  JC69 |        20 |    273 |               3 |          4 |      Fixed 
    18 |  JC69 |         2 |    132 |               0 |          1 |      Fixed 
    19 |  JC69 |         3 |     86 |               0 |          1 |      Fixed 
    20 |  JC69 |         7 |    279 |              23 |         15 |      Fixed 
    21 |  JC69 |        19 |    167 |               8 |          9 |      Fixed 
    22 |  JC69 |        13 |    254 |              96 |         10 |      Fixed 
    23 |  JC69 |        20 |    412 |              16 |         12 |      Fixed 
    24 |  JC69 |        20 |    182 |               3 |          4 |      Fixed 
    25 |  JC69 |         4 |    214 |               6 |          6 |      Fixed 
    26 |  JC69 |         6 |    278 |              13 |          6 |      Fixed 
    27 |  JC69 |         4 |    105 |               1 |          2 |      Fixed 
    28 |  JC69 |        16 |    206 |              93 |         18 |      Fixed 
    29 |  JC69 |         6 |     62 |               5 |          2 |      Fixed 
    30 |  JC69 |         5 |    242 |              41 |          7 |      Fixed 
    31 |  JC69 |        11 |    563 |             379 |         31 |      Fixed 
    32 |  JC69 |        18 |    261 |             125 |         18 |      Fixed 
    33 |  JC69 |         3 |    145 |              34 |          8 |      Fixed 
    34 |  JC69 |        20 |    167 |              81 |         12 |      Fixed 
    35 |  JC69 |        15 |    629 |             366 |         37 |      Fixed 
    36 |  JC69 |        15 |    117 |               2 |          3 |      Fixed 
    37 |  JC69 |         3 |    283 |              24 |          8 |      Fixed 
    38 |  JC69 |        12 |    178 |              10 |         10 |      Fixed 
    39 |  JC69 |        19 |     48 |               1 |          2 |      Fixed 
    40 |  JC69 |        19 |    349 |             107 |         17 |      Fixed 
    41 |  JC69 |         4 |     71 |               6 |          3 |      Fixed 
    42 |  JC69 |         2 |    159 |              70 |          4 |      Fixed 
    43 |  JC69 |        11 |     86 |              16 |         14 |      Fixed 
    44 |  JC69 |        10 |    247 |              17 |          9 |      Fixed 
    45 |  JC69 |         9 |    123 |               6 |          4 |      Fixed 
    46 |  JC69 |         3 |    222 |               6 |          4 |      Fixed 
    47 |  JC69 |         5 |    209 |              14 |          7 |      Fixed 
    48 |  JC69 |         2 |    280 |              17 |          6 |      Fixed 
    49 |  JC69 |         2 |    229 |               1 |          2 |      Fixed 
    50 |  JC69 |         6 |    222 |              33 |         12 |      Fixed 
    51 |  JC69 |         9 |    465 |             151 |         15 |      Fixed 
    52 |  JC69 |        20 |     97 |               2 |          3 |      Fixed 
    53 |  JC69 |         2 |    102 |               0 |          1 |      Fixed 
    54 |  JC69 |         3 |    271 |               4 |          4 |      Fixed 
    55 |  JC69 |        11 |    564 |              33 |         22 |      Fixed 
    56 |  JC69 |         6 |    522 |             253 |         14 |      Fixed 
    57 |  JC69 |         3 |    284 |               5 |          7 |      Fixed 
    58 |  JC69 |         2 |     95 |               0 |          1 |      Fixed 
    59 |  JC69 |        20 |    111 |               5 |          5 |      Fixed 
    60 |  JC69 |         9 |    268 |              15 |         11 |      Fixed 
    61 |  JC69 |        20 |    152 |              74 |         13 |      Fixed 
    62 |  JC69 |        20 |    138 |               9 |          8 |      Fixed 
    63 |  JC69 |        19 |     99 |               5 |          4 |      Fixed 
    64 |  JC69 |        19 |     60 |               2 |          3 |      Fixed 
    65 |  JC69 |         8 |    132 |               2 |          3 |      Fixed 
    66 |  JC69 |         6 |    211 |               7 |          4 |      Fixed 
    67 |  JC69 |        19 |    133 |               6 |          5 |      Fixed 
